Hora/Tiempo,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Axis 7
7/11/2023 7:36,"100 (pg90, 26)","94.5 (pg71, 27)","89.4 (pg51, 12)","46.6 (pg51, 17)","45.6 (pg71, 37)","57.8 (pg41, 21)","100 (pg90, 9)"
7/11/2023 8:16,"100 (pg41, 39)","94.8 (pg71, 27)","88.2 (pg51, 12)","45.8 (pg51, 17)","45.6 (pg71, 37)","57.6 (pg41, 21)","100 (pg90, 9)"
7/11/2023 8:56,"100 (pg90, 26)","95.1 (pg71, 27)","87.9 (pg51, 12)","45.4 (pg51, 17)","45.5 (pg71, 37)","58 (pg41, 21)","100 (pg71, 13)"
7/11/2023 9:36,"100 (pg41, 39)","95.2 (pg71, 27)","88.3 (pg51, 12)","45.8 (pg51, 17)","45.5 (pg71, 37)","59.4 (pg41, 21)","100 (pg31, 7)"
7/11/2023 10:15,"100 (pg90, 26)","94.4 (pg71, 27)","88.7 (pg51, 12)","45.9 (pg51, 17)","45.5 (pg71, 37)","57.7 (pg71, 21)","100 (pg71, 10)"
7/11/2023 10:56,"100 (pg41, 39)","94.1 (pg71, 27)","69 (pg90, 8)","37.4 (pg41, 8)","45.3 (pg71, 37)","58.4 (pg41, 21)","100 (pg31, 11)"
7/11/2023 11:35,"100 (pg41, 39)","94.3 (pg71, 27)","89.6 (pg51, 12)","45.9 (pg51, 17)","45.5 (pg71, 37)","57.6 (pg41, 21)","100 (pg71, 10)"
7/11/2023 12:16,"100 (pg31, 24)","100 (pg31, 24)","100 (pg31, 24)","100 (pg31, 24)","62.6 (pg31, 24)","100 (pg31, 24)","100 (pg31, 24)"
7/11/2023 12:57,"100 (pg90, 26)","96 (pg71, 27)","87.9 (pg51, 12)","46 (pg51, 17)","45.5 (pg71, 37)","58.5 (pg71, 21)","100 (pg71, 27)"
7/11/2023 13:36,"100 (pg90, 26)","96.3 (pg71, 27)","89 (pg51, 12)","45.8 (pg51, 17)","45.4 (pg71, 37)","56.4 (pg71, 21)","100 (pg71, 10)"
